audio_name,speaker_id,tts_model,pipeline,effective_label
dev-clean_84_121550_000084_000000,84,bonafide,RS,bonafide
dev-clean_5895_34629_000012_000002,5895,bonafide,RS+TF+WN+SM,bonafide
dev-clean_1462_170145_000028_000000,1462,bonafide,RS+TF+WN+SM,bonafide
dev-clean_2803_154328_000062_000001,2803,bonafide,RS,bonafide
dev-clean_6295_64301_000016_000002,6295,bonafide,WN,bonafide
test-clean_3570_5694_000010_000003,3570,bonafide,SM,bonafide
test-clean_4992_41806_000007_000000,4992,bonafide,RS,bonafide
test-clean_260_123288_000006_000004,260,bonafide,RS+TF+WN+SM,bonafide
test-clean_4446_2273_000045_000000,4446,bonafide,RS+TF+WN+SM,bonafide
test-clean_6829_68771_000026_000000,6829,bonafide,WN,bonafide
dev-clean_8297_275155_000039_000000,8297,bonafide,RS,bonafide
dev-clean_6345_93302_000042_000004,6345,bonafide,WN,bonafide
dev-clean_2428_83705_000024_000000,2428,bonafide,RS,bonafide
test-clean_1284_1180_000025_000000,1284,bonafide,SM,bonafide
test-clean_1089_134691_000035_000001,1089,bonafide,TF,bonafide
test-clean_1320_122612_000037_000001,1320,bonafide,RS+TF+WN+SM,bonafide
test-clean_2961_961_000019_000000,2961,bonafide,RS,bonafide
dev-clean_2277_149897_000006_000000,2277,bonafide,WN,bonafide
dev-clean_1993_147964_000005_000006,1993,bonafide,WN,bonafide
dev-clean_3170_137482_000022_000006,3170,bonafide,SM,bonafide
dev-clean_251_118436_000011_000000,251,bonafide,RS+TF+WN+SM,bonafide
dev-clean_1919_142785_000003_000002,1919,bonafide,none,bonafide
test-clean_4507_16021_000039_000001,4507,bonafide,WN,bonafide
test-clean_5639_40744_000012_000002,5639,bonafide,SM,bonafide
test-clean_121_127105_000016_000002,121,bonafide,SM,bonafide
test-clean_5142_36600_000001_000000,5142,bonafide,WN,bonafide
dev-clean_5338_284437_000034_000002,5338,bonafide,RS,bonafide
test-clean_2830_3980_000106_000004,2830,bonafide,WN,bonafide
dev-clean_5536_43359_000006_000001,5536,bonafide,none,bonafide
test-clean_908_31957_000010_000000,908,bonafide,SM,bonafide
dev-clean_2412_153954_000010_000000,2412,bonafide,SM,bonafide
dev-clean_6319_64726_000011_000007,6319,bonafide,RS+TF+WN+SM,bonafide
dev-clean_1272_128104_000003_000005,1272,bonafide,SM,bonafide
test-clean_61_70970_000007_000001,61,bonafide,TF,bonafide
dev-clean_8842_302201_000003_000000,8842,bonafide,none,bonafide
test-clean_2300_131720_000012_000002,2300,bonafide,TF,bonafide
test-clean_8455_210777_000010_000000,8455,bonafide,TF,bonafide
test-clean_3575_170457_000041_000003,3575,bonafide,none,bonafide
test-clean_3729_6852_000082_000002,3729,bonafide,SM,bonafide
test-clean_1221_135767_000019_000001,1221,bonafide,none,bonafide
test-clean_8224_274384_000015_000001,8224,bonafide,WN,bonafide
dev01-cosyvoice-full_1462_170145_000006_000001,1462,cosyvoice-full,RS,synthetic
dev01-cosyvoice-full_5694_64038_000007_000002,5694,cosyvoice-full,RS+TF+WN+SM,synthetic
dev01-cosyvoice-full_84_121123_000054_000004,84,cosyvoice-full,TF,synthetic
dev01-cosyvoice-full_6319_275224_000005_000000,6319,cosyvoice-full,WN,synthetic
dev01-cosyvoice-full_2902_9008_000013_000004,2902,cosyvoice-full,none,synthetic
dev01-cosyvoice-full_1988_24833_000066_000002,1988,cosyvoice-full,SM,synthetic
dev01-cosyvoice-partial-cf_7850_286674_000006_000004,7850,cosyvoice-partial-cf,none,synthetic
dev01-cosyvoice-partial-cf_7976_110523_000024_000000,7976,cosyvoice-partial-cf,TF,synthetic
dev01-cosyvoice-partial-cf_3752_4944_000040_000000,3752,cosyvoice-partial-cf,WN,synthetic
dev01-cosyvoice-partial-cf_6345_93306_000022_000000,6345,cosyvoice-partial-cf,RS,synthetic
dev01-cosyvoice-partial-cf_2428_83705_000015_000001,2428,cosyvoice-partial-cf,RS+TF+WN+SM,synthetic
dev01-cosyvoice-partial-cf_84_121550_000182_000000,84,cosyvoice-partial-cf,SM,synthetic
dev01-elevenlab-full_3752_4943_000003_000002,3752,elevenlab-full,WN,synthetic
dev01-elevenlab-full_2428_83705_000027_000000,2428,elevenlab-full,none,synthetic
dev01-elevenlab-full_84_121550_000225_000000,84,elevenlab-full,TF,synthetic
dev01-elevenlab-full_2035_147960_000004_000000,2035,elevenlab-full,RS,synthetic
dev01-elevenlab-full_1462_170142_000029_000001,1462,elevenlab-full,SM,synthetic
dev01-elevenlab-full_174_168635_000023_000000,174,elevenlab-full,RS+TF+WN+SM,synthetic
dev01-elevenlab-partial-cf_174_84280_000004_000005,174,elevenlab-partial-cf,WN,synthetic
dev01-elevenlab-partial-cf_251_136532_000023_000001,251,elevenlab-partial-cf,RS,synthetic
dev01-elevenlab-partial-cf_5536_43359_000006_000001,5536,elevenlab-partial-cf,RS+TF+WN+SM,synthetic
dev01-elevenlab-partial-cf_3576_138058_000018_000002,3576,elevenlab-partial-cf,SM,synthetic
dev01-elevenlab-partial-cf_3752_4944_000086_000000,3752,elevenlab-partial-cf,none,synthetic
dev01-elevenlab-partial-cf_8297_275156_000009_000001,8297,elevenlab-partial-cf,TF,synthetic
dev01-gptsovits-full_6345_93302_000075_000001,6345,gptsovits-full,RS,synthetic
dev01-gptsovits-full_2428_83705_000015_000002,2428,gptsovits-full,WN,synthetic
dev01-gptsovits-full_7850_73752_000009_000000,7850,gptsovits-full,none,synthetic
dev01-gptsovits-full_251_118436_000029_000000,251,gptsovits-full,RS+TF+WN+SM,synthetic
dev01-gptsovits-full_8297_275154_000011_000000,8297,gptsovits-full,TF,synthetic
dev01-gptsovits-full_2035_147960_000023_000001,2035,gptsovits-full,SM,synthetic
dev01-gptsovits-partial-cf_84_121550_000109_000000,84,gptsovits-partial-cf,RS,synthetic
dev01-gptsovits-partial-cf_7850_111771_000008_000001,7850,gptsovits-partial-cf,SM,synthetic
dev01-gptsovits-partial-cf_251_137823_000033_000000,251,gptsovits-partial-cf,none,synthetic
dev01-gptsovits-partial-cf_6295_64301_000016_000002,6295,gptsovits-partial-cf,TF,synthetic
dev01-gptsovits-partial-cf_3170_137482_000003_000008,3170,gptsovits-partial-cf,WN,synthetic
dev01-gptsovits-partial-cf_6313_76958_000085_000000,6313,gptsovits-partial-cf,RS+TF+WN+SM,synthetic
dev01-ljjets-full_8297_275155_000028_000007,8297,ljjets-full,SM,synthetic
dev01-ljjets-full_174_168635_000024_000002,174,ljjets-full,RS+TF+WN+SM,synthetic
dev01-ljjets-full_2035_152373_000010_000004,2035,ljjets-full,TF,synthetic
dev01-ljjets-full_2902_9008_000014_000002,2902,ljjets-full,none,synthetic
dev01-ljjets-full_6345_64257_000009_000002,6345,ljjets-full,RS,synthetic
dev01-ljjets-full_3000_15664_000013_000004,3000,ljjets-full,WN,synthetic
dev01-ljjets-partial-cf_2277_149896_000017_000003,2277,ljjets-partial-cf,RS,synthetic
dev01-ljjets-partial-cf_1462_170145_000012_000000,1462,ljjets-partial-cf,TF,synthetic
dev01-ljjets-partial-cf_2035_147961_000020_000005,2035,ljjets-partial-cf,RS+TF+WN+SM,synthetic
dev01-ljjets-partial-cf_6319_275224_000017_000000,6319,ljjets-partial-cf,WN,synthetic
dev01-ljjets-partial-cf_1988_24833_000053_000001,1988,ljjets-partial-cf,none,synthetic
dev01-ljjets-partial-cf_7850_281318_000004_000002,7850,ljjets-partial-cf,SM,synthetic
dev01-xttsv2-full_2277_149896_000002_000000,2277,xttsv2-full,WN,synthetic
dev01-xttsv2-full_6313_66129_000062_000001,6313,xttsv2-full,TF,synthetic
dev01-xttsv2-full_8297_275155_000006_000001,8297,xttsv2-full,none,synthetic
dev01-xttsv2-full_84_121123_000062_000003,84,xttsv2-full,SM,synthetic
dev01-xttsv2-full_7850_281318_000005_000000,7850,xttsv2-full,RS+TF+WN+SM,synthetic
dev01-xttsv2-full_5694_64025_000009_000008,5694,xttsv2-full,RS,synthetic
dev01-xttsv2-partial-cf_1462_170142_000002_000010,1462,xttsv2-partial-cf,RS+TF+WN+SM,synthetic
dev01-xttsv2-partial-cf_1988_24833_000036_000003,1988,xttsv2-partial-cf,SM,synthetic
dev01-xttsv2-partial-cf_2803_154320_000022_000002,2803,xttsv2-partial-cf,WN,synthetic
dev01-xttsv2-partial-cf_251_118436_000012_000002,251,xttsv2-partial-cf,RS,synthetic
dev01-xttsv2-partial-cf_2086_149220_000028_000001,2086,xttsv2-partial-cf,TF,synthetic
dev01-xttsv2-partial-cf_6313_76958_000016_000000,6313,xttsv2-partial-cf,none,synthetic
dev01-yourtts-full_2035_147960_000023_000001,2035,yourtts-full,TF,synthetic
dev01-yourtts-full_3853_163249_000105_000000,3853,yourtts-full,WN,synthetic
dev01-yourtts-full_7976_105575_000018_000006,7976,yourtts-full,SM,synthetic
dev01-yourtts-full_1919_142785_000131_000001,1919,yourtts-full,RS+TF+WN+SM,synthetic
dev01-yourtts-full_1462_170145_000017_000003,1462,yourtts-full,RS,synthetic
dev01-yourtts-full_84_121123_000019_000000,84,yourtts-full,none,synthetic
dev01-yourtts-partial-cf_3170_137482_000059_000001,3170,yourtts-partial-cf,TF,synthetic
dev01-yourtts-partial-cf_5895_34622_000045_000003,5895,yourtts-partial-cf,none,synthetic
dev01-yourtts-partial-cf_6345_93306_000057_000004,6345,yourtts-partial-cf,RS+TF+WN+SM,synthetic
dev01-yourtts-partial-cf_2803_154328_000022_000000,2803,yourtts-partial-cf,WN,synthetic
dev01-yourtts-partial-cf_3000_15664_000015_000002,3000,yourtts-partial-cf,RS,synthetic
dev01-yourtts-partial-cf_2428_83699_000016_000000,2428,yourtts-partial-cf,SM,synthetic
